reference	pageref	identified_name	identified_authority	identified_status	identified_note	assignment_confidence	morphological_information	accepted_name	lsid_act	formation	member	bed	zone	subzone	stage	series	system	location	country	utm_wgs84	latitude	longitude	comments	lsid_pub	synonym_id
Mazin1991CRASS2MPCSUST	1207	Chensaurus chaoxianensis	Chen1985RGC	ncomb			N	Chaohusaurus chaoxianensis																	77
Mazin1991CRASS2MPCSUST	1207	Chensaurus faciles	Chen1985RGC	ncomb			N	Chaohusaurus chaoxianensis																	78
Motani1998JVP	533	Chaohusaurus geishanensis	Young1972MNIGP	orig		p	Y	Chaohusaurus chaoxianensis																	79
Motani2015JVP	e892011-3	Chaohusaurus chaoxianensis	Chen1985RGC	ncomb			Y	Chaohusaurus chaoxianensis																	80
Huang2019Pa	7	Chaohusaurus brevifemoralis	Huang2019Pa	orig		*	Y	Chaohusaurus brevifemoralis	urn:lsid:zoobank.org:act:B0085E53-C6E4-4C2E-96FF-6D485D3585BA	Nanlinghu Formation	Upper Member		*Subcolumbites* Ammonoid Biozone		Spathian, Olenekian	Lower Triassic	Triassic	Majiashan, Anhui Province, China	CN					urn:lsid:zoobank.org:pub:3FA09089-C940-4499-ABBC-B48F0F70F38E	81
Motani1998JVP	533	Chaohusaurus geishanensis	Young1972MNIGP	orig		p	Y	Chaohusaurus brevifemoralis																	82
Motani1998JP		Chaohusaurus chaoxianensis	Chen1985RGC	ncomb		p	Y	Chaohusaurus brevifemoralis																	83
Motani1998JP		Chaohusaurus chaoxianensis	Chen1985RGC	ncomb			Y	Chaohusaurus chaoxianensis																	84
Motani2015JVP	e892011-3	Chaohusaurus chaoxianensis	Chen1985RGC	ncomb		p	Y	Chaohusaurus brevifemoralis																	85
Zhou2017JVP	e1343831-3	Chaohusaurus chaoxianensis	Chen1985RGC	ncomb		p	Y	Chaohusaurus brevifemoralis																	86
Chen2013AGS	673	Chaohusaurus zhangjiawanensis	Chen2013AGS	orig		v *	Y	Chaohusaurus zhangjiawanensis		Jialingjiang Formation	Third Member		*Neospathodus homeri*–*N. triangularis* Conodont Biozone		upper Spathian	Lower Triassic	Triassic	Zhangjiawan Village, Yangping Town, Yuan'an County, Hubei Province, China	CN		31.27250	111.56849			87
Quenstedt1852	129	Ichthyosaurus atavus	Quenstedt1852	orig		*	Y	Contectopalatus atavus		Wellenkalk Formation					Anisian	Middle Triassic	Triassic	Althengstett, Baden-Württenbug, Germany	DE		48.72871	8.79063			88
Fraas1891	38	Mixosaurus atavus atavus	Quenstedt1852	ncomb	[as *Mixossaurus atavus* var.~*minor*]		Y	Contectopalatus atavus															*fide* @McGowan2003 [p. 67]		89
